Epoch,Gen R2M Loss Train,Gen M2R Loss Train,Disc Real Loss Train,Disc Monet Loss Train,Gen R2M Loss Eval,Gen M2R Loss Eval,Disc Real Loss Eval,Disc Monet Loss Eval
2,1.150614,1.1331704,1.5439153,1.7115846,1.5396393537521362,1.6405351161956787,1.417318344116211,1.529529094696045
4,0.9849991,1.0395507,1.4879881,1.3103869,1.3486647605895996,1.412719488143921,1.3891288042068481,1.492323875427246
6,0.9093725,0.9771013,1.3349135,1.2217479,1.4363899230957031,1.639054775238037,1.3097059726715088,1.479569911956787
8,0.91069424,1.0485864,1.172572,1.344214,1.6423453092575073,1.3671765327453613,1.9288253784179688,1.304175615310669
10,0.93690395,1.1689402,1.1785346,1.1168683,1.4797101020812988,1.3563655614852905,1.6781597137451172,1.5426576137542725
