Epoch,Gen R2M Loss Train,Gen M2R Loss Train,Disc Real Loss Train,Disc Monet Loss Train,Gen R2M Loss Eval,Gen M2R Loss Eval,Disc Real Loss Eval,Disc Monet Loss Eval
2,1.4650067,1.0156926,0.023944585,0.062617175,3.021251916885376,2.7596352100372314,4.374604225158691,2.28794002532959
4,1.0517402,0.79382324,0.01458639,0.078536145,0.848041296005249,0.8654166460037231,11.63900089263916,5.260014533996582
6,1.2763872,1.8865107,0.44190928,0.03102535,0.9311948418617249,1.3471430540084839,7.333112716674805,6.267030239105225
8,0.6558764,0.620602,0.009856229,0.006688652,0.9452244639396667,2.791929006576538,5.573460578918457,5.951300144195557
10,1.9990045,0.54667944,0.004585891,0.5512672,2.6292247772216797,0.7919122576713562,7.354554176330566,5.0471882820129395
12,0.5997818,1.141271,0.34479216,0.016159832,0.7969866991043091,3.093402862548828,26.96540641784668,7.552000999450684
14,0.5548961,0.588606,0.017068584,0.005618413,0.597084105014801,0.6158825159072876,7.0101141929626465,7.953104019165039
16,0.73912835,0.7043025,0.012909574,0.018588195,1.337041974067688,0.8763405680656433,5.71049165725708,7.390147686004639
18,1.5582944,1.0550442,0.2920996,0.19602308,3.6663615703582764,3.0625975131988525,4.870750904083252,2.4470901489257812
20,0.7965525,0.6026688,0.006170243,0.008515941,0.7610833644866943,0.8922412395477295,5.961441993713379,5.405841827392578
