Epoch,Gen R2M Loss Train,Gen M2R Loss Train,Disc Real Loss Train,Disc Monet Loss Train,Gen R2M Loss Eval,Gen M2R Loss Eval,Disc Real Loss Eval,Disc Monet Loss Eval
2,4.1763906,3.4276772,0.8790241,0.865216,7.711056232452393,2.94930362701416,2.366506576538086,1.1628565788269043
4,1.5860931,0.6704476,0.024592131,0.3613902,0.8885902762413025,0.9614025950431824,4.695304870605469,4.616767883300781
6,1.3047706,0.45434725,0.002958118,0.029562026,2.06377911567688,1.248402714729309,4.707244396209717,2.273667573928833
8,0.48637837,0.39817187,0.0015454708,0.005376068,1.0080647468566895,1.5870554447174072,7.018308639526367,6.199184894561768
10,0.49338654,1.3537273,0.13919994,0.0018483829,0.6447066068649292,1.2670031785964966,3.41046404838562,9.719804763793945
12,0.43886253,0.7713192,0.017472746,0.0016169562,0.8478834629058838,1.1692790985107422,4.597733497619629,8.019478797912598
14,3.251978,2.6963894,0.22344576,0.35422736,1.850145936012268,3.916249990463257,2.4920034408569336,8.320266723632812
16,0.59568197,1.8075088,0.002790777,0.010164681,1.0044633150100708,2.1176114082336426,3.12272572517395,8.67529582977295
18,0.5203603,0.65900177,0.002782044,0.0062349224,0.8347272276878357,1.0458869934082031,5.91151237487793,10.28012752532959
20,0.39540982,0.47789314,0.0019345736,0.002671113,0.8876573443412781,1.594920039176941,6.066840648651123,14.610395431518555
22,0.3292859,0.38594618,0.0015869592,0.0023332525,1.031409740447998,1.6515634059906006,6.603477478027344,15.543380737304688
24,0.27150473,0.31892055,0.0015026683,0.0014354963,0.7721402645111084,1.1150932312011719,6.925098896026611,20.26654815673828
