Epoch,Gen R2M Loss Train,Gen M2R Loss Train,Disc Real Loss Train,Disc Monet Loss Train,Gen R2M Loss Eval,Gen M2R Loss Eval,Disc Real Loss Eval,Disc Monet Loss Eval
2,1.2325181,1.4376354,0.039241653,0.26441666,1.7905104160308838,2.118389368057251,9.92302131652832,3.003957748413086
4,0.74077195,1.8548734,0.41645142,0.0130954245,1.4592816829681396,1.1611433029174805,3.726543426513672,10.409778594970703
6,1.0088893,1.6407269,0.058693625,0.018685216,0.8262443542480469,0.8396853804588318,6.444156169891357,4.250500202178955
8,0.52130723,0.7017333,0.01380474,0.005638221,0.7745445966720581,0.6495434045791626,7.956966876983643,7.352162837982178
10,1.4164209,0.77610636,0.14293095,0.2993714,5.65175199508667,8.643805503845215,9.023908615112305,5.276086807250977
12,0.58838725,0.5328875,0.012114952,0.0039612614,0.5100682377815247,0.5709154605865479,9.54765510559082,6.08950662612915
14,0.8253801,0.611652,0.025355143,0.040615246,0.6795830130577087,0.5572642683982849,5.281988143920898,4.681509017944336
16,1.2244865,0.87735486,0.12627795,0.16200869,1.6893378496170044,0.6778348684310913,6.257548809051514,2.68959641456604
18,0.58708555,0.7961857,0.02467503,0.0050295154,0.8344303369522095,0.6095353960990906,5.28279972076416,3.3647279739379883
20,0.7111557,0.6392686,0.03091119,0.03481566,0.6751216053962708,0.5739022493362427,5.281813621520996,5.829763412475586
22,0.47585312,0.83244014,0.095340215,0.0022191026,0.43606460094451904,0.5435221791267395,5.537967205047607,6.963576793670654
24,1.0009278,0.44898167,0.0056445864,0.3361809,1.8848882913589478,0.8773658871650696,6.254096984863281,4.773495674133301
26,0.6275211,0.8924596,0.16691718,0.014278647,0.8973333835601807,13.974498748779297,9.214713096618652,6.4841413497924805
28,0.50285095,0.7415795,0.060596876,0.009312571,0.7093110084533691,1.0633413791656494,8.728323936462402,6.214912414550781
30,0.41289818,0.41364512,0.0040235734,0.003935574,0.3869449496269226,0.40955275297164917,5.885722637176514,7.077152252197266
